"エリア記号","エリア名","施設名","区分","価格帯目安","特徴メモ","掲載方針","個別ページ","スラッグ","記事URL"
"B","千鳥エリア","ホテルマイステイズ舞浜","一般ホテル","¥5,000〜","TDS徒歩約6分・エリア最安","normal","TRUE","mystays-maihama","https://urayasu-portal.com/travel-guide/hotels/mystays-maihama/"
"B","千鳥エリア","舞浜ユーラシア（SPA&HOTEL）","一般ホテル（温泉）","¥10,000〜","天然温泉・露天風呂・サウナ","normal","TRUE","maihama-eurasia","https://urayasu-portal.com/travel-guide/hotels/maihama-eurasia/"
"B","千鳥エリア","ホテルユーラシア舞浜アネックス","一般ホテル","¥8,000〜","本館温泉を割引利用可","normal","TRUE","eurasia-annex","https://urayasu-portal.com/travel-guide/hotels/eurasia-annex/"
"C","新浦安エリア","ハイアットリージェンシー東京ベイ","一般リゾートホテル","¥25,000〜","ホテル前リムジン停留所（2024年新設）","normal","TRUE","hyatt-regency-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/hyatt-regency-tokyo-bay/"
"C","新浦安エリア","コンフォートスイーツ東京ベイ","一般ホテル","¥15,000〜","閉園後30分シャトル・小学6年生まで添い寝無料","normal","TRUE","comfort-suites-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/comfort-suites-tokyo-bay/"
"C","新浦安エリア","浦安ブライトンホテル","パートナーホテル","¥20,000〜","新浦安駅直結","normal","TRUE","brighton-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/brighton-tokyo-bay/"
"C","新浦安エリア","オリエンタルホテル東京ベイ","パートナーホテル","¥18,000〜","新浦安駅直結","normal","TRUE","oriental-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/oriental-tokyo-bay/"
"C","新浦安エリア","ホテルエミオン東京ベイ","パートナーホテル","¥22,000〜","天然温泉・露天風呂","normal","TRUE","emion-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/emion-tokyo-bay/"
"C","新浦安エリア","三井ガーデンホテルプラナ東京ベイ","パートナーホテル","¥18,000〜","展望大浴場・館内コンビニ","normal","TRUE","mitsui-garden-prana","https://urayasu-portal.com/travel-guide/hotels/mitsui-garden-prana/"
"C","新浦安エリア","星野リゾート 1955 東京ベイ","一般ホテル","¥15,000〜","館内ローソン・2024年開業","normal","TRUE","hoshinoresorts-1955-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/hoshinoresorts-1955-tokyo-bay/"
"C","新浦安エリア","ラ・ジェント・ホテル東京ベイ","一般ホテル","¥8,000〜","最大6名対応・24時間コンビニ隣接","normal","TRUE","lagent-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/lagent-tokyo-bay/"
"C","新浦安エリア","イビススタイルズ東京ベイ","一般ホテル","¥10,000〜","アコーホテルズ系デザインホテル","normal","TRUE","ibis-styles-tokyo-bay","https://urayasu-portal.com/travel-guide/hotels/ibis-styles-tokyo-bay/"
"C","新浦安エリア","マイステイズ新浦安コンファレンスセンター","一般ホテル","¥7,500〜","安定した低価格帯","normal","TRUE","mystays-shin-urayasu","https://urayasu-portal.com/travel-guide/hotels/mystays-shin-urayasu/"
"C","新浦安エリア","フレックステイイン新浦安","一般ホテル","¥7,800〜","全室ミニキッチン・長期滞在型","normal","TRUE","flexstay-shin-urayasu","https://urayasu-portal.com/travel-guide/hotels/flexstay-shin-urayasu/"
"C","新浦安エリア","変なホテル舞浜","一般ホテル","¥8,000〜","2026年7月よりシャトル減便予定","normal","TRUE","henna-hotel-maihama","https://urayasu-portal.com/travel-guide/hotels/henna-hotel-maihama/"
"C","新浦安エリア","フォーストーリーズホテル舞浜","一般ホテル","¥10,000〜","路線バス利用（最終23:00）","normal","TRUE","four-stories-hotel","https://urayasu-portal.com/travel-guide/hotels/four-stories-hotel/"
"C","新浦安エリア","日和ホテル舞浜","一般ホテル","¥10,000〜","全室フットマッサージ器・靴乾燥機","normal","TRUE","hiyori-hotel-maihama","https://urayasu-portal.com/travel-guide/hotels/hiyori-hotel-maihama/"
"C","新浦安エリア","こやす","旅館・民宿","","温泉設備の可能性あり・要電話確認","normal","TRUE","koyasu-urayasu","https://urayasu-portal.com/travel-guide/hotels/koyasu-urayasu/"
"C","新浦安エリア","M4 design hotel","ファッションホテル","","","name-only","FALSE","",""
"C","新浦安エリア","ホテルリバーサイド東京ベイ","ファッションホテル","","","name-only","FALSE","",""
"D","浦安駅エリア","浦安ビューフォートホテル","一般ホテル","¥9,000〜","浦安駅徒歩1分・ビュッフェ朝食","normal","TRUE","viewfort-urayasu","https://urayasu-portal.com/travel-guide/hotels/viewfort-urayasu/"
"D","浦安駅エリア","ホテル醍醐","一般ホテル","¥8,000〜","年中均一料金・繁忙期も値上げなし","normal","TRUE","hotel-daigo-urayasu","https://urayasu-portal.com/travel-guide/hotels/hotel-daigo-urayasu/"
"D","浦安駅エリア","BAYHOTEL浦安駅前","一般ホテル","¥14,000〜","全室キッチン・冷蔵庫・洗濯機付き","normal","TRUE","bayhotel-urayasu","https://urayasu-portal.com/travel-guide/hotels/bayhotel-urayasu/"
"D","浦安駅エリア","浦安サンホテル","一般ホテル","¥8,000〜","無料朝食・24時間フロント","normal","TRUE","urayasu-sun-hotel","https://urayasu-portal.com/travel-guide/hotels/urayasu-sun-hotel/"
"D","浦安駅エリア","ホテルダイヤモンド","ファッションホテル","","","name-only","FALSE","",""
